Cycle=1_Fc=1_X	Cycle=1_Fc=1_Y	Cycle=1_Fc=2_X	Cycle=1_Fc=2_Y
231	21535.1	231	21217.8
232	21535.1	232	21217.9
233	21535.1	233	21218
234	21535.1	234	21218.2
235	21535.2	235	21218.3
236	21535.1	236	21218.4
237	21535.2	237	21218.5
238	21535.2	238	21218.6
239	21535.1	239	21218.7
240	21535.2	240	21218.8
241	21535.2	241	21218.9
242	21535.2	242	21219
243	21535.2	243	21219.1
244	21535.2	244	21219.2
245	21535.2	245	21219.3
246	21535.2	246	21219.3
247	21535.2	247	21219.4
248	21535.2	248	21219.5
249	21535.2	249	21219.6
250	21535.2	250	21219.7
251	21535.2	251	21219.8
252	21535.2	252	21219.9
253	21535.2	253	21220
254	21535.2	254	21220.1
255	21535.2	255	21220.2
256	21535.2	256	21220.3
257	21535.2	257	21220.4
258	21535.2	258	21220.5
259	21535.2	259	21220.6
260	21535.2	260	21220.7
261	21535.2	261	21220.7
262	21535.2	262	21220.8
263	21535.2	263	21220.9
264	21535.2	264	21221
265	21535.2	265	21221.1
266	21535.2	266	21221.2
267	21535.3	267	21221.3
268	21535.3	268	21221.3
269	21535.3	269	21221.4
270	21535.3	270	21221.5
271	21535.3	271	21221.6
272	21535.3	272	21221.6
273	21535.3	273	21221.7
274	21535.3	274	21221.8
275	21535.3	275	21221.9
276	21535.3	276	21222
277	21535.3	277	21222
278	21535.3	278	21222.1
279	21535.3	279	21222.2
280	21535.3	280	21222.2
281	21535.3	281	21222.3
282	21535.3	282	21222.3
283	21535.3	283	21222.4
284	21535.3	284	21222.5
285	21535.3	285	21222.6
286	21535.3	286	21222.6
287	21535.3	287	21222.7
288	21535.3	288	21222.8
289	21535.3	289	21222.9
290	21535.3	290	21222.9
291	21535.3	291	21223
292	21535.3	292	21223.1
293	21535.3	293	21223.1
294	21535.3	294	21223.2
295	21535.4	295	21223.3
296	21535.4	296	21223.3
297	21535.4	297	21223.4
298	21535.4	298	21223.4
299	21535.4	299	21223.5
300	21535.4	300	21223.6
301	21535.4	301	21223.6
302	21535.3	302	21223.7
303	21535.4	303	21223.8
304	21535.4	304	21223.8
305	21535.4	305	21223.9
306	21535.4	306	21223.9
307	21535.4	307	21224
308	21535.4	308	21224.1
309	21535.4	309	21224.1
310	21535.4	310	21224.2
311	21535.4	311	21224.2
312	21535.4	312	21224.3
313	21535.4	313	21224.4
314	21535.4	314	21224.4
315	21535.4	315	21224.5
316	21535.4	316	21224.5
317	21535.4	317	21224.6
318	21535.4	318	21224.6
319	21535.4	319	21224.7
320	21535.4	320	21224.7
321	21535.4	321	21224.8
322	21535.4	322	21224.8
323	21535.4	323	21224.9
324	21535.4	324	21224.9
325	21535.4	325	21225
326	21535.4	326	21225
327	21535.4	327	21225.1
328	21535.4	328	21225.2
329	21535.4	329	21225.2
330	21535.4	330	21225.3
331	21535.4	331	21225.3
332	21535.4	332	21225.4
333	21535.4	333	21225.4
334	21535.5	334	21225.5
335	21535.5	335	21225.6
336	21535.5	336	21225.6
337	21535.5	337	21225.6
338	21535.5	338	21225.7
339	21535.5	339	21225.7
340	21535.5	340	21225.8
341	21535.5	341	21225.8
342	21535.5	342	21225.9
343	21535.5	343	21225.9
344	21535.5	344	21226
345	21535.5	345	21226
346	21535.5	346	21226.1
347	21535.5	347	21226.2
348	21535.5	348	21226.2
349	21535.5	349	21226.3
350	21535.5	350	21226.3
351	21535.6	351	21226.3
352	21535.6	352	21226.4
353	21535.6	353	21226.4
354	21535.6	354	21226.5
355	21535.6	355	21226.5
356	21535.6	356	21226.6
357	21535.6	357	21226.6
358	21535.6	358	21226.6
359	21535.6	359	21226.7
360	21535.6	360	21226.7
361	21535.6	361	21226.8
362	21535.6	362	21226.8
363	21535.6	363	21226.9
364	21535.6	364	21226.9
365	21535.6	365	21226.9
366	21535.6	366	21227
367	21535.6	367	21227
368	21535.6	368	21227.1
369	21535.6	369	21227.1
370	21535.6	370	21227.1
371	21535.6	371	21227.2
372	21535.6	372	21227.2
373	21535.6	373	21227.3
374	21535.6	374	21227.3
375	21535.6	375	21227.3
376	21535.6	376	21227.3
377	21535.6	377	21227.4
378	21535.6	378	21227.4
379	21535.6	379	21227.4
380	21535.6	380	21227.5
381	21535.6	381	21227.5
382	21535.6	382	21227.6
383	21535.6	383	21227.6
384	21535.6	384	21227.6
385	21535.6	385	21227.7
386	21535.6	386	21227.7
387	21535.6	387	21227.8
388	21535.6	388	21227.8
389	21535.6	389	21227.8
390	21535.6	390	21227.8
391	21535.6	391	21227.9
392	21535.6	392	21227.9
393	21535.6	393	21227.9
394	21535.6	394	21228
395	21535.6	395	21228
396	21535.6	396	21228.1
397	21535.6	397	21228.1
398	21535.6	398	21228.2
399	21535.6	399	21228.2
400	21535.6	400	21228.2
401	21535.6	401	21228.2
402	21535.6	402	21228.3
403	21535.6	403	21228.3
404	21535.6	404	21228.3
405	21535.6	405	21228.4
406	21535.6	406	21228.4
407	21535.6	407	21228.4
408	21535.6	408	21228.5
409	21535.6	409	21228.5
410	21535.6	410	21228.5
411	21535.6	411	21228.6
412	21535.6	412	21228.6
413	21535.6	413	21228.6
414	21535.6	414	21228.7
415	21535.6	415	21228.7
416	21535.6	416	21228.7
417	21535.6	417	21228.7
418	21535.6	418	21228.8
419	21535.6	419	21228.8
420	21535.6	420	21228.8
421	21535.6	421	21228.8
422	21535.6	422	21228.9
423	21535.6	423	21228.9
424	21535.6	424	21228.9
425	21535.6	425	21229
426	21535.6	426	21229
427	21535.6	427	21229
428	21535.6	428	21229.1
429	21535.6	429	21229.1
430	21535.6	430	21229.1
431	21535.6	431	21229.1
432	21535.6	432	21229.2
433	21535.6	433	21229.2
434	21535.6	434	21229.2
435	21535.6	435	21229.2
436	21535.6	436	21229.2
437	21535.6	437	21229.3
438	21535.6	438	21229.3
439	21535.6	439	21229.3
440	21535.6	440	21229.4
441	21535.6	441	21229.4
442	21535.6	442	21229.4
443	21535.6	443	21229.5
444	21535.6	444	21229.5
445	21535.6	445	21229.5
446	21535.6	446	21229.6
447	21535.6	447	21229.6
448	21535.6	448	21229.6
449	21535.6	449	21229.6
450	21535.6	450	21229.7
451	21535.6	451	21229.7
452	21535.6	452	21229.7
453	21535.6	453	21229.7
454	21535.6	454	21229.7
455	21535.6	455	21229.8
456	21535.6	456	21229.8
457	21535.6	457	21229.8
458	21535.6	458	21229.9
459	21535.6	459	21229.9
460	21535.6	460	21229.9
461	21535.6	461	21229.9
462	21535.5	462	21230
463	21535.5	463	21230
464	21535.5	464	21230
465	21535.5	465	21230
466	21535.5	466	21230.1
467	21535.6	467	21230.1
468	21535.6	468	21230.1
469	21535.6	469	21230.1
470	21535.6	470	21230.2
471	21535.6	471	21230.2
472	21535.6	472	21230.2
473	21535.6	473	21230.2
474	21535.6	474	21230.2
475	21535.6	475	21230.3
476	21535.6	476	21230.3
477	21535.6	477	21230.3
478	21535.6	478	21230.3
479	21535.6	479	21230.4
480	21535.6	480	21230.4
481	21535.6	481	21230.4
482	21535.6	482	21230.4
483	21535.6	483	21230.4
484	21535.6	484	21230.5
485	21535.6	485	21230.5
486	21535.6	486	21230.5
487	21535.6	487	21230.5
488	21535.6	488	21230.6
489	21535.6	489	21230.6
490	21535.6	490	21230.6
491	21535.6	491	21230.7
492	21535.6	492	21230.7
493	21535.6	493	21230.7
494	21535.6	494	21230.8
495	21535.6	495	21230.8
496	21535.6	496	21230.8
497	21535.6	497	21230.8
498	21535.6	498	21230.8
499	21535.6	499	21230.8
500	21535.6	500	21230.8
501	21535.6	501	21230.9
502	21535.6	502	21230.9
503	21535.6	503	21230.9
504	21535.6	504	21230.9
505	21535.6	505	21231
506	21535.6	506	21231
507	21535.6	507	21231
508	21535.6	508	21231
509	21535.6	509	21231.1
510	21535.6	510	21231.1
511	21535.6	511	21231.1
512	21535.6	512	21231.1
513	21535.6	513	21231.1
514	21535.6	514	21231.1
515	21535.6	515	21231.1
516	21535.6	516	21231.1
517	21535.5	517	21231.2
518	21535.5	518	21231.2
519	21535.5	519	21231.2
520	21535.5	520	21231.2
521	21535.5	521	21231.2
522	21535.5	522	21231.3
523	21535.6	523	21231.3
524	21535.6	524	21231.3
525	21535.6	525	21231.3
526	21535.6	526	21231.3
527	21535.6	527	21231.4
528	21535.6	528	21231.4
529	21535.5	529	21231.4
530	21535.6	530	21231.4
531	21535.6	531	21231.5
532	21535.6	532	21231.5
533	21535.6	533	21231.5
534	21535.6	534	21231.6
535	21535.6	535	21231.6
536	21535.6	536	21231.6
537	21535.6	537	21231.6
538	21535.6	538	21231.6
539	21535.6	539	21231.7
540	21535.6	540	21231.7
541	21535.6	541	21231.7
542	21535.6	542	21231.7
543	21535.6	543	21231.8
544	21535.6	544	21231.8
545	21535.6	545	21231.8
546	21535.6	546	21231.8
547	21535.6	547	21231.8
548	21535.6	548	21231.8
549	21535.6	549	21231.8
550	21535.6	550	21231.9
551	21535.6	551	21231.9
552	21535.6	552	21231.9
553	21535.6	553	21231.9
554	21535.6	554	21231.9
555	21535.6	555	21231.9
556	21535.6	556	21231.9
557	21535.6	557	21232
558	21535.6	558	21232
559	21535.6	559	21232
560	21535.6	560	21232
561	21535.6	561	21232
562	21535.6	562	21232.1
563	21535.6	563	21232.1
564	21535.6	564	21232.1
565	21535.6	565	21232.1
566	21535.6	566	21232.1
567	21535.6	567	21232.2
568	21535.6	568	21232.2
569	21535.6	569	21232.2
570	21535.6	570	21232.2
571	21535.6	571	21232.3
572	21535.6	572	21232.3
573	21535.6	573	21232.3
574	21535.6	574	21232.3
