Fc4_KU7+PEG_H4 [0.078]_X	Fc4_KU7+PEG_H4 [0.078]_Y	Fc4_KU7+PEG_H4 [0.156]_X	Fc4_KU7+PEG_H4 [0.156]_Y	Fc4_KU7+PEG_H4 [0.313]_X	Fc4_KU7+PEG_H4 [0.313]_Y	Fc4_KU7+PEG_H4 [0.625]_X	Fc4_KU7+PEG_H4 [0.625]_Y	Fc4_KU7+PEG_H4 [1.25]_X	Fc4_KU7+PEG_H4 [1.25]_Y	Fc4_KU7+PEG_H4 [2.5]_X	Fc4_KU7+PEG_H4 [2.5]_Y	Fc4_KU7+PEG_H4 [5]_X	Fc4_KU7+PEG_H4 [5]_Y	Fit on Fc4_KU7+PEG_H4 [0.078]_X	Fit on Fc4_KU7+PEG_H4 [0.078]_Y	Fit on Fc4_KU7+PEG_H4 [0.156]_X	Fit on Fc4_KU7+PEG_H4 [0.156]_Y	Fit on Fc4_KU7+PEG_H4 [0.313]_X	Fit on Fc4_KU7+PEG_H4 [0.313]_Y	Fit on Fc4_KU7+PEG_H4 [0.625]_X	Fit on Fc4_KU7+PEG_H4 [0.625]_Y	Fit on Fc4_KU7+PEG_H4 [1.25]_X	Fit on Fc4_KU7+PEG_H4 [1.25]_Y	Fit on Fc4_KU7+PEG_H4 [2.5]_X	Fit on Fc4_KU7+PEG_H4 [2.5]_Y	Fit on Fc4_KU7+PEG_H4 [5]_X	Fit on Fc4_KU7+PEG_H4 [5]_Y
-67.3	-0.373047	-67.3	-0.580078	-67.3	-0.708984	-67.3	-0.6875	-67.3	-0.820313	-67.3	-0.851563	-67.3	-1.05273	-41.0663	0	-41.0663	0	-41.0663	0	-41.0663	0	-41.0663	0	-41.0663	0	-41.0663	0
-67.2	-0.353516	-67.2	-0.570313	-67.2	-0.699219	-67.2	-0.677734	-67.2	-0.800781	-67.2	-0.841797	-67.2	-1.04297	-39.5088	0	-39.5088	0	-39.5088	0	-39.5088	0	-39.5088	0	-39.5088	0	-39.5088	0
-67.1	-0.353516	-67.1	-0.570313	-67.1	-0.699219	-67.1	-0.677734	-67.1	-0.800781	-67.1	-0.841797	-67.1	-1.04297	-37.9514	0	-37.9514	0	-37.9514	0	-37.9514	0	-37.9514	0	-37.9514	0	-37.9514	0
-67	-0.353516	-67	-0.560547	-67	-0.689453	-67	-0.677734	-67	-0.800781	-67	-0.841797	-67	-1.04297	-36.394	0	-36.394	0	-36.394	0	-36.394	0	-36.394	0	-36.394	0	-36.394	0
-66.9	-0.353516	-66.9	-0.560547	-66.9	-0.689453	-66.9	-0.677734	-66.9	-0.800781	-66.9	-0.841797	-66.9	-1.04297	-34.8366	0	-34.8366	0	-34.8366	0	-34.8366	0	-34.8366	0	-34.8366	0	-34.8366	0
-66.8	-0.34375	-66.8	-0.560547	-66.8	-0.689453	-66.8	-0.667969	-66.8	-0.800781	-66.8	-0.841797	-66.8	-1.04297	-33.2791	0	-33.2791	0	-33.2791	0	-33.2791	0	-33.2791	0	-33.2791	0	-33.2791	0
-66.7	-0.353516	-66.7	-0.560547	-66.7	-0.679688	-66.7	-0.667969	-66.7	-0.800781	-66.7	-0.841797	-66.7	-1.0332	-31.7217	0	-31.7217	0	-31.7217	0	-31.7217	0	-31.7217	0	-31.7217	0	-31.7217	0
-66.6	-0.34375	-66.6	-0.570313	-66.6	-0.679688	-66.6	-0.667969	-66.6	-0.800781	-66.6	-0.841797	-66.6	-1.0332	-30.1643	0	-30.1643	0	-30.1643	0	-30.1643	0	-30.1643	0	-30.1643	0	-30.1643	0
-66.5	-0.34375	-66.5	-0.560547	-66.5	-0.679688	-66.5	-0.677734	-66.5	-0.800781	-66.5	-0.841797	-66.5	-1.0332	-28.6068	0	-28.6068	0	-28.6068	0	-28.6068	0	-28.6068	0	-28.6068	0	-28.6068	0
-66.4	-0.34375	-66.4	-0.560547	-66.4	-0.669922	-66.4	-0.677734	-66.4	-0.791016	-66.4	-0.841797	-66.4	-1.0332	-27.0494	0	-27.0494	0	-27.0494	0	-27.0494	0	-27.0494	0	-27.0494	0	-27.0494	0
